gauge_id,slope_mean,vcmx25_mean,mfsno_mean,cwpvt_mean,point_geometries,soil_index,soil_depth
Gage-01022500,0.0886465204092622,73.64303849084371,0.8365774317775382,0.33137192048660574,POINT (-68.07313 44.79691),8.0,2.0
Gage-01031500,0.048476524297358756,68.91613232266431,1.3980590834829274,0.32611799638343686,POINT (-69.58119 45.23568),12.0,2.0
Gage-01047000,0.020853549315948666,67.42716315609334,0.8690062728067094,0.2839495582465757,POINT (-70.16213 44.98744),8.0,2.0
Gage-01052500,0.02291237645056179,73.8148833917919,0.6484109436420583,0.35006192563628924,POINT (-71.17197 44.96168),12.0,2.0
Gage-01054200,0.13331641510950218,75.92778444538023,0.9219625201816969,0.3260953513985889,POINT (-71.05872 44.31072),8.0,2.0
Gage-01055000,0.03566717728189447,65.98420059391877,1.4947163057421187,0.137566614404389,POINT (-70.62632 44.75157),8.0,2.0
Gage-01057000,0.052835353485404524,55.4764544328299,1.2975722260878437,0.29940962983725417,POINT (-70.60039 44.3434),8.0,2.0
Gage-01073000,0.04295711762775726,44.43743932607723,3.6296188696941862,0.3375445784606621,POINT (-71.00569 43.15747),8.0,2.0
Gage-01078000,0.0589337918979407,72.9273985346543,1.0056731563770158,0.35755763501676213,POINT (-71.89296 43.56186),8.0,2.0
Gage-01123000,0.07161524000950639,67.42848232627345,0.7838916777918895,0.102111754475708,POINT (-72.05134 41.75061),8.0,2.0
Gage-01134500,0.04893361859897939,78.54539370326547,3.90905558797584,0.357435595660361,POINT (-71.80225 44.57153),8.0,2.0
Gage-01137500,0.09120822641021974,72.53321894751544,0.6789472163311756,0.14732160114490203,POINT (-71.47415 44.25389),8.0,2.0
Gage-01139000,0.07073743643497728,62.17265352239236,1.058093983439348,0.35905878723536677,POINT (-72.21213 44.21836),8.0,2.0
Gage-01139800,0.09165940706147736,48.74616341941956,1.020280351295733,0.357486641050879,POINT (-72.36594 44.09478),8.0,2.0
Gage-01142500,0.027347935213149568,75.8288101895741,3.922722917871438,0.3566084460875387,POINT (-72.66255 44.00276),3.0,2.0
Gage-01144000,0.10440169864633962,68.47433974150593,1.906494870039463,0.3056863469418065,POINT (-72.66126 43.88571),8.0,2.0
Gage-01162500,0.01767355058221404,72.07415091226731,0.6892064426646984,0.3467180131117777,POINT (-72.14154 42.75409),8.0,2.0
Gage-01169000,0.07665163474151442,75.54679548571474,3.863761115159821,0.2844492182785929,POINT (-72.77633 42.73597),3.0,2.0
Gage-01170100,0.06705748010373913,52.29545907684733,1.7651959836242779,0.22074148542005398,POINT (-72.70524 42.79432),8.0,2.0
Gage-01181000,0.09635497366570395,77.26776527918278,3.90277659584092,0.3528392994786222,POINT (-73.03143 42.30441),3.0,2.0
Gage-01187300,0.049828324142259774,72.80369250045885,1.0827416405126238,0.2882008592925166,POINT (-72.9751 42.07967),3.0,2.0
Gage-01195100,0.019200948998332,82.51307601257743,2.0,0.3364245891571045,POINT (-72.54759 41.32971),8.0,2.0
Gage-01333000,0.17841372836647235,79.55477849942072,0.63633260049872,0.18531195969559253,POINT (-73.23597 42.63857),3.0,2.0
Gage-01350000,0.08051807284965627,79.39532115256836,1.0546356275179944,0.3598160184799742,POINT (-74.26812 42.25692),12.0,2.0
Gage-01350080,0.06389958573887093,74.63862085419834,3.947595187790327,0.3571865044711929,POINT (-74.3438 42.39659),12.0,2.0
Gage-01350140,0.02661226193127665,55.23228782891813,3.9823306002644587,0.35733228015489127,POINT (-74.53833 42.44596),12.0,2.0
Gage-01365000,0.10540640909347004,52.07295076515153,3.8420516273356764,0.3515630781562921,POINT (-74.42639 41.9147),3.0,2.0
Gage-01411300,0.379410133280708,70.12375583779348,2.0,0.13655483119053916,POINT (-74.86063 39.34938),8.0,2.0
Gage-01413500,0.31303751927238427,70.48147750092356,2.9043261642144453,0.3361822911787165,POINT (-74.55636 42.20133),12.0,2.0
Gage-01414500,0.0913429860286249,81.68088056505938,1.755128922924834,0.3591801321176273,POINT (-74.65448 42.08086),12.0,2.0
Gage-01415000,0.13737608910605043,73.16312261711958,0.6145076397080764,0.34477534268618787,POINT (-74.80096 42.18552),12.0,2.0
Gage-01423000,0.112487555257227,69.42741748066824,1.9229481396418793,0.3416280044066869,POINT (-74.87784 42.28871),12.0,2.0
Gage-01434025,0.07925290125743455,60.610616415758614,1.132383494782018,0.3545794097470773,POINT (-74.48483 42.01478),3.0,2.0
Gage-01435000,0.06389839987924101,63.49128961646472,1.3670435408993744,0.3519512269513284,POINT (-74.50569 41.96424),12.0,2.0
Gage-01439500,0.3383225639850278,46.815613642195004,3.7714570664847877,0.3478815105156348,POINT (-75.0974 41.20994),12.0,2.0
Gage-01440000,0.027931881453621518,38.44433292711058,3.8210345452177457,0.3437290493923506,POINT (-74.79817 41.21119),3.0,2.0
Gage-01440400,0.023599150301135772,72.30809530887095,0.9696880736118121,0.35386854270301554,POINT (-75.24309 41.18775),12.0,2.0
Gage-01451800,0.07526512183604987,74.45829952617925,3.852097037177354,0.3275505865460713,POINT (-75.68416 40.6604),12.0,2.0
Gage-01466500,0.058086000727465496,68.25541431343342,0.8103640590975295,0.22758460799255298,POINT (-74.49062 39.87334),5.0,2.0
Gage-01484100,0.047383008724958,97.86889585542367,2.0,0.3012795998948435,POINT (-75.52798 38.89235),4.0,2.0
Gage-01487000,0.06920173340288861,61.69699004495101,2.0,0.13058061804101043,POINT (-75.56216 38.8002),8.0,2.0
Gage-01491000,0.02325297826318184,64.2336347619111,2.001134089120912,0.21651892854361451,POINT (-75.70663 39.07677),8.0,2.0
